branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ba76e555a4385c350042e73bca81627fe1ab32be/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-03-21 01:40:37 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c0249097a8baf29962f49965f4265dc86863d7d0/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-03-21 01:55:55 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/52caa1d6d3d305d79dde93ed1c171c4f72b32b10/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-03-21 01:33:14 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cac8e02b18fed25f20fa95348ee906759ab6c99c/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-03-21 01:47:22 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13269,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b4005afeb1b3ace5659a8fb8885dfa5020b28aac/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-03-21 01:37:04 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13269,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1e520ea207cb9e6dfd6cd25eb3ab479c32d1ebac/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-03-21 01:47:34 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/346850529c4d2b0cdcb085a94104cd42ed6c9993/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-03-21 01:53:27 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1fedafcdd8d098f43431b8c8521f4c0ceacb10a9/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-03-21 02:05:45 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0b26218015440e0c9501de3573a60b762045bde5/develop/discover/intel/19.1.3/O/mpt/2.17),2022-03-21 01:50:54 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c0249097a8baf29962f49965f4265dc86863d7d0/develop/discover/intel/19.1.3/g/mpt/2.17),2022-03-21 01:55:55 -0400
develop,discover,pgi 2020,mpiuni none,N/A N/A,O,Linux,pass,11120,622,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fbc6a3f1383076627b1cbb39ada2a2038c5f3d40/develop/discover/pgi/2020/O/mpiuni/none),2022-03-21 02:52:21 -0400
develop,discover,pgi 2020,mpiuni none,N/A N/A,g,Linux,pass,11120,622,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fc5c591156c6b8e74a1c1fa631152949482dd2f2/develop/discover/pgi/2020/g/mpiuni/none),2022-03-21 03:04:11 -0400
